               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.036872,            0.036404,            0.011662,             0.59795,             0.46573,             0.49921,             0.18267,            0.061784,            0.039527,            0.016392,            0.006436,            0.006436,            0.006436
                  38,            0.036313,            0.035562,            0.010966,             0.51885,             0.43747,             0.43694,             0.14189,            0.063015,            0.036604,             0.01622,            0.006337,            0.006337,            0.006337
                  39,            0.038285,            0.033443,              0.0128,             0.60148,             0.42443,             0.50334,             0.16525,            0.060238,            0.036811,            0.015693,            0.006238,            0.006238,            0.006238
                  40,            0.035519,            0.037696,            0.010558,             0.57548,             0.43002,              0.4339,             0.14673,            0.062011,            0.036596,            0.014862,            0.006139,            0.006139,            0.006139
                  41,            0.035716,             0.03587,            0.011229,             0.54952,             0.47005,             0.48766,              0.1594,            0.062546,            0.035823,            0.013781,             0.00604,             0.00604,             0.00604
                  42,            0.035638,            0.034551,            0.010809,              0.5414,             0.46974,             0.47922,             0.18086,            0.061118,            0.037073,            0.013348,            0.005941,            0.005941,            0.005941
                  43,            0.034526,             0.03787,            0.011042,             0.48383,             0.52527,             0.44351,             0.15223,            0.062117,            0.037541,            0.014433,            0.005842,            0.005842,            0.005842
                  44,            0.036013,             0.03499,            0.011655,             0.56412,             0.51535,             0.51145,             0.18232,            0.060471,            0.038195,            0.015239,            0.005743,            0.005743,            0.005743
                  45,            0.034569,            0.037971,            0.010992,             0.67993,             0.38753,             0.44747,             0.17462,            0.060119,            0.038046,            0.015653,            0.005644,            0.005644,            0.005644
                  46,            0.034129,            0.033813,            0.011043,             0.66214,             0.47293,             0.51236,             0.20348,            0.058952,            0.037759,            0.015337,            0.005545,            0.005545,            0.005545
                  47,            0.034692,             0.03423,            0.010555,             0.62507,             0.47438,             0.49928,             0.18804,            0.060504,            0.037635,            0.014651,            0.005446,            0.005446,            0.005446
                  48,            0.033475,            0.035226,            0.010119,             0.71363,             0.47623,             0.54066,             0.20547,            0.058762,            0.038485,            0.014904,            0.005347,            0.005347,            0.005347
                  49,              0.0348,            0.035828,            0.011144,             0.59459,             0.43345,             0.46435,              0.1617,            0.062601,            0.039477,            0.015254,            0.005248,            0.005248,            0.005248
                  50,            0.034171,            0.034238,            0.010634,             0.70509,             0.48016,             0.57099,              0.1764,            0.059452,            0.039027,            0.014168,            0.005149,            0.005149,            0.005149
                  51,            0.033069,            0.035643,            0.010337,             0.79126,             0.47881,              0.5513,             0.20005,            0.059462,            0.038234,            0.014051,             0.00505,             0.00505,             0.00505
                  52,            0.033127,            0.033922,           0.0096811,             0.74203,             0.49053,             0.54839,             0.19246,            0.059469,            0.037794,            0.014623,            0.004951,            0.004951,            0.004951
                  53,            0.032086,            0.033818,           0.0095063,             0.62845,             0.44103,             0.51403,             0.18932,            0.060406,            0.038098,             0.01457,            0.004852,            0.004852,            0.004852
                  54,            0.033297,            0.032234,           0.0097224,             0.72416,             0.46015,             0.55748,             0.18452,            0.058739,            0.038414,            0.015231,            0.004753,            0.004753,            0.004753
